ColumnName;VariableName;Description
X33;zs_cad;¿Este espacio de almacenamiento de cadáveres se encuentra en la zona sucia de la granja?
X34;empr_cad;¿Puede la empresa de procesamiento recoger los cadáveres sin entrar en la zona limpia de la granja (par ejemplo: desde el camino público?
X35;acceso_cad;Se almacenan los cadáveres de manera que no tengan acceso a ellos perros, gatos y/o animales salvajes?
X36;lyd_cad;¿Se limpia y desinfecta este almacenamiento de cadáveres después de cadarecogida?
X37;enfr_cad;¿Se enfría el almacenamiento de cadáveres?
X38;manip_cad;¿Se toman medidas de protección para la manipulación de los cadáveres (por ejemplo: lavarse las manos o usar guantes?
X39;proveed_silos;¿Puede la empresa de alimentación llenar los silos sin entrar en la zona limpia?
X40;proveed_nav;¿El proveedor de alimentos tiene acceso a las naves?
X41;piens_hig;¿El pienso procede de una empresa de alimentación en la que tiene que cumplir determinados requisitos higiénicos (por ejemplo, ausencia de salmonela, tratamiento térmico, etc.)?
X42;agua_ent;¿Se controla cada año la calidad del agua potable en la entrada o en el depósito de almacenamiento mediante un análisis bacteriológico?
X43;agua_sal;¿Se controla cada año la calidad del agua potable en las salidas principales (es decir, en los bebederos donde beben los cerdos) mediante un análisis bacteriológico?
X44;zn_des_mat;¿Existe una zonaespecífica de desinfección de materiales para meterlos en la granja (por ejemplo, una cabina de rayosUV para materiales del exterior)?
X45;med_mat;¿Se toman medidas específicas para la introducción de material (por ejemplo, limpieza y desinfección o período de cuarentena en un lugar específico)?
X46;vis_inf;¿Están obligados los visitantes a informar de su presencia antes de entrar en la granja (por ejemplo, a través del registro de visitantes)?
X47;vis_12h;¿Se requiere un período sin visitas a otras granjas o instalaciones relacionadas con porcino (más de 12 horas) para todos los visitantes antes de que se les permita entrar en la granja?
X48;vest_vis;¿Existe un vestuario de bioseguridad disponible y siempre es utilizaoa por los visitantes cuando entran a la granja?
X49;nav_vest;¿Son todos las naves accesibles para los visitantes solo cuando hayan pasado por un vestuario con medida de bioseguridad?
X50;zs_zl_vest;¿Existe una separación estricta entre la zona limpia y la sucia del vestuario de bioseguridad?
X51;ropa_vis;¿Los visitantes tienen que usar ropa específica de la granja?
X52;calz_vis;¿Los visitantes tienen que llevar calzado específico de la granja?
X53;manos;¿Los visitantes y los trabajadores de la granja tienen que lavarse y desinfectarse las manos antes de entrar a las naves?
X54;hig_trab;¿Todos los trabajadores de la granja siempre llevan a cabo estas medidas higiénicas?
X55;alim;¿Se considera que las alimañas (es decir, ratas, ratones, etc.) son un problema en la granja?
X56;ext_pav;¿Está el exterior de la granja pavimentado y limpio (por ejemplo, sin vegetación, malas hierbas, basura, escombros, etc.)?
X57;roed;¿Existe un programa de control de roedores en la granja?
X58;masc;¿Las mascotas tienen acceso a las naves (incluyendo donde esta el alimento y material de cama)?
X59;aves;¿Tienen acceso las aves a las naves?
X60;rejillas;¿Se colocan rejillas en los conductos de aire?
X61;dens_granj;¿Está la granja situada en una zona con una alta densidad de cerdos o en una zona de baja densidad?
X62;X500m;¿Existen otras explotaciones de porcino en un radio de 500 metros de su granja?
X63;est_500m;¿Se está esparciendo estiércol de otras explotaciones en prados en un radio de 500 metros alrededor de su granja?
X64;carr_100m;¿Los vehículos de transporte que transportan animales de otras granjas a menudo (es decir, como mínimo una vez al día) pasan por una carretera a menos de 100 metros de su granja (por ejemplo, debido a la existencia de un matadero en las inmediaciones...
X65;jab_10km;¿Se han detectado jabalíes en un radio de 10 kilómetros alrededor de su explotación?
X66;cerc;¿La granja está rodeada de cerca, alambradas, ....?
X67;plan_vac;¿El ganadero siempre utiliza y sigue un plan de vacunación predefinido y un protocolo demanejo (aditivos, pre o probióticos, etc.)?
X68;eval_sani;¿Se realiza una evaluación periódica (es decir, al menos una vez al año) de la situación sanitaria de la granja (por ejemplo, serología, hallazgos de matadero, etc.)?
X69;aisl_enf;¿Se aíslan los cerdos retrasadosy/o enfermos de los sanos (en corrales o enfermerías separados físicamente o se eutanasian)?
X70;manip_enf;¿Se manipulan/visitan los cerdos enfermos después de los sanos?
X71;pres_cer;¿Hay cerdas en la granja?
X72;limp_cer;¿Las cerdas se lavan antes de ser trasladadas a la sala de partos?
X73;adop_cer;¿Se realizan adopciones de lechones entre cerdas?
X74;n_adop;¿Se realizan una o varias adopciones por lechón?
X75;adop_4d;¿Las adopciones se hacen cuando los lechones tienen más de 4 días de vida?
X76;manip_lec;¿Cuántas veces se manipulan los lechones (por ejemplo, vacunación, castración, corte de colmillos ,...) entre el nacimiento y el destete?
X77;lyd_mat;¿Se limpian y desinfectan regularmente entre grupos de lechones los materiales/herramientas de trabajo (por ejemplo, cuchillas de castración, agujas de inyección de hierro, cortacolas para lechones, etc.)?
X78;cuchillas;¿Trabaja con dos cuchillas y un recipiente con desinfectante para castrar a los lechones?
X79;lech_trans;¿Hay lechoneras/transición en la granja?
X80;tdtf_lech;¿Se practica un todo dentro/todo fuera (TD/TF) estricto en cada uno de los compartimentos de las lechoneras?
X81;mez_lech;¿Se mezclan a veces los cerdos más viejos con los más jóvenes?
X82;dens_lech;¿Cuál es la máxima densidad de población de un corral en las lechoneras?
X83;lech_sep;¿Está la nave de lechoneras o transiciónseparada físicamente de la gestación (es decir, sin contacto directo a través de una puerta contigua, preferiblemente en un establo separado)?
X84;vest_lech;¿Existe un vestuario de bioseguridad específico para las lechoneras o transición?
X85;pres_ceb;¿Hay cerdos de cebo en la granja?
X86;tdtf_sala_ceb;¿Se practica un todo dentro/todo fuera (TD/TF) estricto en todas las salas de la nave de cebo?
X87;tdtf_corral_ceb;¿Se practica un todo dentro/todo fuera (TD/TF) estricto en cada corral de cada sala de la nave de cebo?
X88;sep_ceb;¿Los diferentes grupos de edad están estrictamente separados en salas diferentes (es decir, con una separación física)?
X89;mez_ceb;¿Los cerdos de cebo más viejos se mezclan a veces con cerdos más jóvenes?
X90;dens_ceb;¿Cuál es la densidad máxima de ocupación de un corral en el cebo?
X91;ropa_fase;¿Se dispone de ropa y calzado específico para cada fase productiva y se utiliza?
X92;lyd_fase;¿Se lavan y/o desinfectan las manos entre las diferentes naves o fases productivas?
X93;ped_fase;¿Se usan pediluvios y/o lavabotas entre diferentes naves o fases productivas o se cambian las botas?
X94;rut_edad;¿La rutina de trabajo y manejo va desde los cerdos más jóvenes hasta los más mayores?
X95;mat_orden;¿El material necesario para un lote o grupo de animales se coloca de acuerdo con el orden en que se lleva a cabo el trabajo?
X96;prot_lyd;¿Existe un protocolo para la limpieza y desinfección del material (como escobas, palas) después de su uso y se cumple siempre este protocolo?
X97;mat_id;¿Se dispone de material diferente y fácilmente identificable (por ejemplo, marcado con diferentes colores) para cada lote o grupo de edad?
X98;lyd_tab;¿Se limpian y desinfectan regularmente (es decir, después de cada uso o, al menos, después de cada ciclo de producción durante el vacío sanitario) los tableros para arrear?
X99;mat_comp;¿Hay algún material que pueda tener contacto con los animales o que entre dentro de la granja, que se comparta con otras granjas?
X100;jer_grup;¿Hay disponibles jeringas específicas para cada grupo de edad o para cada lote?
X101;aguj_grup;¿Existen agujas para inyección específicas para cada grupo de edad o para cada lote?
X102;n_cerd_aguj;¿Después de cuántos cerdos se cambia la aguja?
X103;lyd_etapa;¿Se respetan las diferentes etapas del proceso de limpieza y desinfección, y se dispone de tiempo suficiente (según las especificaciones del producto utilizado) para cada etapa?
X104;efic_lyd;¿Se comprueba la eficacia del protocolo de limpieza y desinfección, por ejemplo, analizando con una placa de contacto o esponja abrasiva?
X105;lyd_salas;¿Se limpian y desinfectan los naves/salas después de cada ciclo de producción?
X106;vac_largo;¿El vacío sanitario es lo suficientemente largo, es decir, hay bastante tiempo para secar y ajustar la temperatura antes de que los cerdos entren en la sala?
X107;lyd_pasillos;¿Se limpian y desinfectan los pasillos y la zona de carga (muelle de carga) después del traslado de los cerdos?
X108;ped_entr;¿Hay pediluvios y/o lavabotas en la entrada de la granja y se utilizan?
X109;renov_ped;¿Se renueva inmediatamente el desinfectante de los pediluvios y/o lavabotas cuando se ve que están contaminados?
